,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
56,200712,0.00760126723489833,2.7676006919182745,0.00029092527606024073,-0.0005860977683884587,0.0014375986699053484,0.0005860977683884587,0.0,0.0
72,200904,0.007621257507492776,3.0951693854472047,-0.028898675122233337,0.065856485976336,0.030986200498903504,0.06902187639643007,0.0,0.013122148190552104
24,200311,0.007736084636838518,2.980896045620776,0.00321388411839317,-0.0015350723230733948,0.00744820572082466,0.010306058276158582,0.0,0.0
41,200603,0.007773561863638337,2.8653518738259747,-0.0007747896689591755,0.0013159388758599592,0.0019763819627166292,0.002053540870550603,0.0,0.0
55,200711,0.008150122212990434,3.181818307986774,-0.02137576957977277,0.02979690811995342,0.022214669902481107,0.030687591274048798,0.0,0.0
19,200305,0.008253265975049842,3.2896707033233246,-0.004658106046693164,0.006382693531227625,0.005950264927137929,0.007676443922526322,0.0,0.0
10,200204,0.00833566908867144,3.2490476259607948,0.0020754687333431193,-0.004007858092545172,0.0038053520039407567,0.005716083025736159,0.0,0.0
52,200708,0.008345460488646698,3.3359102763150568,0.0020705105404212757,-0.005827753958543045,0.002359419407254615,0.005827753958543045,0.0,0.0
91,Ward Name=Stratford and New Town,0.008377490487611565,,,,,,,
42,200604,0.008381498829985784,2.6009134257914694,-0.0075203560719090306,0.012804124249413046,0.008658790880974961,0.012831553207304362,0.0,0.0
69,200901,0.008529914699820857,3.009072907983909,-0.026687487942573588,0.07717053533738161,0.027099244380245833,0.07770022733780739,0.0,0.1079671023949088
76,200908,0.008722520283814063,2.855408348462312,-0.03361932557856851,0.0554054685755784,0.036413094958528736,0.056211413022622995,0.0,0.0282884272844246
49,200705,0.008977609159970366,3.067441618628944,-0.0484869333943304,0.22145024781406464,0.05013516362780886,0.2227349471611684,0.0,0.2925002235567594
18,200304,0.009299415773363648,3.041434488518942,-0.006099794199909446,0.009690027118614362,0.00890748579789109,0.015407597242549614,0.0,0.0
61,200805,0.009369285735859769,2.786195264066306,-0.009229423661029147,0.019857109418463772,0.010078275775832644,0.020389646609020602,0.0,0.0
46,200702,0.00967688148300175,2.820185078069641,-0.004665802294698675,0.003951173376601371,0.005519497756546688,0.005265855580903763,0.0,0.0
13,200208,0.009725852259349983,3.0220754144211894,0.00044208289635446597,0.0017466216225336686,0.0007808890004350793,0.004226701088264404,0.0,0.0
47,200703,0.009954166083246722,3.1973634751935385,-0.011173722572191935,0.015512690578384888,0.011856958615336081,0.018354806233445837,0.0,0.0
